Set number,replicate,Treatment,Time day,Acetate,Propanoate,Isobutyrate,Butyrate,Isopentanoate,Pentanoate,Isohexanoate,Hexanoate
2,1,Decanoic,5,1.1,0,0,0,0,0,0,0
2,2,Decanoic,5,1.3,0,0,0,0,0,0,0
2,3,Decanoic,5,0.8,0,0,0,0,0,0,0
2,1,Decanoic,6,0,0,0,0,0,0,0,0
2,2,Decanoic,6,0,0,0,0,0,0,0,0
2,3,Decanoic,6,0,0,0,0,0,0,0,0
2,1,Decanoic,7,0,0,0,0,0,0,0,0
2,2,Decanoic,7,0,0,0,0,0,0,0,0
2,3,Decanoic,7,0,0,0,0,0,0,0,0
2,1,Decanoic,8,0.6,0,0,0,0,0,0,0.1
2,2,Decanoic,8,0.9,0,0,0,0,0,0,0.1
2,3,Decanoic,8,0.8,0,0,0,0,0,0,0.3
2,1,Decanoic,9,3.7,0,0,0,0,0,0,1.3
2,2,Decanoic,9,4.1,0,0,0,0,0,0,1.7
2,3,Decanoic,9,3.9,0,0,0,0,0,0,1.5
2,1,Decanoic,10,0.9,0,0,0,0,0,0,0
2,2,Decanoic,10,0.6,0,0,0,0,0,0,0
2,3,Decanoic,10,0.4,0,0,0,0,0,0,0
1,1,Casein,1,0,0,0,0,0,0,0,0
1,2,Casein,1,0,0,0,0,0,0,0,0
1,3,Casein,1,0,0,0,0,0,0,0,0
1,4,Casein,1,0,0,0,0,0,0,0,0
1,1,Casein,2,0,0,0,0,0,0,0,0
1,2,Casein,2,0,0,0,0,0,0,0,0
1,3,Casein,2,0,0,0,0,0,0,0,0
1,4,Casein,2,0,0,0,0,0,0,0,0
1,1,Casein,3,0,0,0,0,0,0,0,0
1,2,Casein,3,0,0,0,0,0,0,0,0
1,3,Casein,3,0,0,0,0,0,0,0,0
1,4,Casein,3,0,0,0,0,0,0,0,0
1,1,Casein,4,0,0,0,0,0,0,0,0
1,2,Casein,4,0,0,0,0,0,0,0,0
1,3,Casein,4,0,0,0,0,0,0,0,0
1,4,Casein,4,0,0,0,0,0,0,0,0
1,1,Casein,5,4.3,1.2,2,4.1,0.3,1,3,5.1
1,2,Casein,5,3.9,1.4,1.7,3.8,0.2,1.1,2.8,4.8
1,3,Casein,5,4.1,0.8,2.2,4,0.4,1.2,2.7,6
1,4,Casein,5,4,1.3,2.1,4.2,0.3,1.3,3.1,5.5
1,1,Casein,6,6.4,0.2,0.1,3.5,0,0.2,0.7,3.4
1,2,Casein,6,6.2,0.3,0,3.2,0,0.3,0.8,3
1,3,Casein,6,6.6,0.1,0,3.8,0,0.1,0.3,3.6
1,4,Casein,6,5.8,0.2,0.3,3.4,0,0.1,1.1,3.1
1,1,Casein,7,7.5,0,0,2.1,0,0,0,1.5
1,2,Casein,7,7.9,0,0,1.6,0,0,0,1.9
1,3,Casein,7,8.1,0,0,1.9,0,0,0,2.1
1,4,Casein,7,7.3,0,0,2,0,0,0,1.2
1,1,Casein,8,9,0,0,0.1,0,0,0,0.5
1,2,Casein,8,9.7,0,0,0.3,0,0,0,0.3
1,3,Casein,8,10.1,0,0,0.2,0,0,0,0.1
1,4,Casein,8,8.9,0,0,0.1,0,0,0,0.5
1,1,Casein,9,8.7,0.7,1.1,3.3,0,0.2,1.8,4.2
1,2,Casein,9,7.9,0.6,1.3,3.1,0,0,2.1,4.7
1,3,Casein,9,8.2,0.3,1,2.9,0,0.1,1.6,4.1
1,4,Casein,9,8.1,0.9,1.4,3,0,0,2.2,4.5
1,1,Casein,10,8.8,0.2,0,1.4,0,0,0.1,3.1
1,2,Casein,10,8.3,0,0.1,1.2,0,0,0.3,2.6
1,3,Casein,10,7.8,0.1,0,1.7,0,0,0,2.8
1,4,Casein,10,8.5,0,0,1.1,0,0,0.1,2.3
1,1,Keratin,1,0,0,0,0,0,0,0,0
1,2,Keratin,1,0,0,0,0,0,0,0,0
1,3,Keratin,1,0,0,0,0,0,0,0,0
1,4,Keratin,1,0,0,0,0,0,0,0,0
1,1,Keratin,2,0,0,0,0,0,0,0,0
1,2,Keratin,2,0,0,0,0,0,0,0,0
1,3,Keratin,2,0,0,0,0,0,0,0,0
1,4,Keratin,2,0,0,0,0,0,0,0,0
1,1,Keratin,3,0,0,0,0,0,0,0,0
1,2,Keratin,3,0,0,0,0,0,0,0,0
1,3,Keratin,3,0,0,0,0,0,0,0,0
1,4,Keratin,3,0,0,0,0,0,0,0,0
1,1,Keratin,4,0,0,0,0,0,0,0,0
1,2,Keratin,4,0,0,0,0,0,0,0,0
1,3,Keratin,4,0,0,0,0,0,0,0,0
1,4,Keratin,4,0,0,0,0,0,0,0,0
1,1,Keratin,5,0,0,0,0,0,0,0,0
1,2,Keratin,5,0,0,0,0,0,0,0,0
1,3,Keratin,5,0,0,0,0,0,0,0,0
1,4,Keratin,5,0,0,0,0,0,0,0,0
1,1,Keratin,6,2.1,0,0,0.3,0,0,0,0.4
1,2,Keratin,6,2.4,0,0,0.4,0,0,0,0.2
1,3,Keratin,6,1.7,0,0,0.2,0,0,0,0.5
1,4,Keratin,6,2.5,0,0,0.1,0,0,0,0.3
1,1,Keratin,7,5,0,0,3,0,0,0,1.4
1,2,Keratin,7,5.6,0,0,4.2,0,0,0,1.6
1,3,Keratin,7,4.7,0,0,4,0,0,0,1.2
1,4,Keratin,7,5.2,0,0,2,0,0,0,1.5
1,1,Keratin,8,7.1,5,2.6,0.2,4.4,3.7,1.2,3.1
1,2,Keratin,8,7.3,4.8,2.2,0.4,4.2,3.5,1.4,3.5
1,3,Keratin,8,6.9,4.9,2.4,0.3,3.8,3.4,0.7,3.2
1,4,Keratin,8,7,5.3,2.3,0.1,2.9,4.1,1.1,3.3
1,1,Keratin,9,9.8,5.3,0.4,0,6,5.2,0.1,3.3
1,2,Keratin,9,10.1,5.4,0.3,0,6.3,4.9,0.3,3
1,3,Keratin,9,9.6,5.3,0.3,0,6.2,5.1,0.2,2.9
1,4,Keratin,9,9.9,5.7,0.2,0,5.9,5,0.1,2.8
1,1,Keratin,10,10.1,5.2,0,0,5.3,6,0,3.4
1,2,Keratin,10,9.7,5.3,0,0,5.2,6.1,0,3.6
1,3,Keratin,10,9.9,3.8,0,0,5.5,7.3,0,3.2
1,4,Keratin,10,10.3,5.9,0,0,5.6,6.4,0,3.5
